FechaInicio,FechaFin,ClaveEntidad,Estado,Nivel
07/12/2020,20/12/2020,1,Aguascalientes,3
07/12/2020,20/12/2020,2,Baja California,4
07/12/2020,20/12/2020,3,Baja California Sur,3
07/12/2020,20/12/2020,4,Campeche,1
07/12/2020,20/12/2020,5,Chiapas,1
07/12/2020,20/12/2020,6,Chihuahua,3
07/12/2020,20/12/2020,7,CDMX,4
07/12/2020,20/12/2020,8,Coahuila,3
07/12/2020,20/12/2020,9,Colima,2
07/12/2020,20/12/2020,10,Durango,3
07/12/2020,20/12/2020,11,Guanajuato,3
07/12/2020,20/12/2020,12,Guerrero,3
07/12/2020,20/12/2020,13,Hidalgo,3
07/12/2020,20/12/2020,14,Jalisco,3
07/12/2020,20/12/2020,15,EdoMex,4
07/12/2020,20/12/2020,16,Michoacán,3
07/12/2020,20/12/2020,17,Morelos,3
07/12/2020,20/12/2020,18,Nayarit,3
07/12/2020,20/12/2020,19,Nuevo León,3
07/12/2020,20/12/2020,20,Veracruz,1
07/12/2020,20/12/2020,20,Oaxaca,2
07/12/2020,20/12/2020,21,Puebla,3
07/12/2020,20/12/2020,22,Querétaro,3
07/12/2020,20/12/2020,23,Quintana Roo,3
07/12/2020,20/12/2020,24,San Luis Potosí,3
07/12/2020,20/12/2020,25,Sinaloa,3
07/12/2020,20/12/2020,26,Sonora,3
07/12/2020,20/12/2020,27,Tabasco,3
07/12/2020,20/12/2020,28,Tamaulipas,3
07/12/2020,20/12/2020,29,Tlaxcala,2
07/12/2020,20/12/2020,31,Yucatán,3
07/12/2020,20/12/2020,32,Zacatecas,4
06/07/2020,12/07/2020,1,Aguascalientes,3
06/07/2020,12/07/2020,2,Baja California,4
06/07/2020,12/07/2020,3,Baja California Sur,3
06/07/2020,12/07/2020,4,Campeche,3
06/07/2020,12/07/2020,5,Chiapas,4
06/07/2020,12/07/2020,6,Chihuahua,3
06/07/2020,12/07/2020,7,CDMX,3
06/07/2020,12/07/2020,8,Coahuila,4
06/07/2020,12/07/2020,9,Colima,4
06/07/2020,12/07/2020,10,Durango,3
06/07/2020,12/07/2020,11,Guanajuato,4
06/07/2020,12/07/2020,12,Guerrero,3
06/07/2020,12/07/2020,13,Hidalgo,3
06/07/2020,12/07/2020,14,Jalisco,3
06/07/2020,12/07/2020,15,EdoMex,4
06/07/2020,12/07/2020,16,Michoacán,3
06/07/2020,12/07/2020,17,Morelos,3
06/07/2020,12/07/2020,18,Nayarit,4
06/07/2020,12/07/2020,19,Nuevo León,4
06/07/2020,12/07/2020,20,Veracruz,4
06/07/2020,12/07/2020,20,Oaxaca,3
06/07/2020,12/07/2020,21,Puebla,4
06/07/2020,12/07/2020,22,Querétaro,3
06/07/2020,12/07/2020,23,Quintana Roo,3
06/07/2020,12/07/2020,24,San Luis Potosí,3
06/07/2020,12/07/2020,25,Sinaloa,4
06/07/2020,12/07/2020,26,Sonora,4
06/07/2020,12/07/2020,27,Tabasco,4
06/07/2020,12/07/2020,28,Tamaulipas,4
06/07/2020,12/07/2020,29,Tlaxcala,4
06/07/2020,12/07/2020,31,Yucatán,3
06/07/2020,12/07/2020,32,Zacatecas,3
03/08/2020,16/08/2020,1,Aguascalientes,3
03/08/2020,16/08/2020,2,Baja California,3
03/08/2020,16/08/2020,3,Baja California Sur,4
03/08/2020,16/08/2020,4,Campeche,3
03/08/2020,16/08/2020,5,Chiapas,3
